-81.42	3.36	996.28	0.069	-0.053	0.160	-575.65	590.39	26.11

-84.23	1.89	999.45	0.046	-0.145	0.137	-575.65	590.39	26.11

-84.53	0.55	996.70	-0.137	-0.008	0.168	-575.65	590.39	26.11

-84.05	0.49	995.24	-0.061	-0.008	0.008	-575.65	590.39	26.11

-84.59	1.40	999.27	-0.008	-0.008	0.046	-575.65	590.39	26.11

-83.07	-1.04	1001.46	-0.031	-0.053	0.092	-564.72	594.04	26.11

-83.80	1.89	996.77	-0.046	-0.061	0.023	-564.72	594.04	26.11

-85.94	-0.12	998.11	0.038	-0.107	0.046	-564.72	594.04	26.11

-82.40	-0.49	997.68	-0.145	-0.076	0.023	-564.72	594.04	26.11

-82.82	-0.73	1000.18	-0.084	0.015	0.153	-566.54	595.86	38.41

-83.80	1.04	996.70	0.069	-0.130	-0.008	-566.54	595.86	38.41

-83.19	1.34	999.76	-0.031	-0.031	0.069	-566.54	595.86	38.41

-82.89	1.40	994.57	-0.084	0.046	0.084	-566.54	595.86	38.41

-79.10	-0.06	1003.66	0.107	0.015	0.130	-561.08	572.18	26.11

-83.80	-2.50	996.77	-0.229	0.175	0.015	-561.08	572.18	26.11

-87.77	-0.61	991.52	0.183	-0.038	0.053	-561.08	572.18	26.11

-78.61	9.70	1019.71	0.168	0.046	0.130	-561.08	572.18	26.11

-88.56	-8.85	992.25	-0.877	0.412	-0.084	-566.54	588.57	38.41

-91.67	-3.05	989.26	0.313	-0.267	0.130	-566.54	588.57	38.41

-76.11	7.75	1018.49	0.290	-0.275	0.160	-566.54	588.57	38.41

-85.21	-2.14	990.23	-0.793	0.305	0.000	-566.54	588.57	38.41

-88.32	-6.77	992.19	0.374	-0.244	0.145	-562.90	588.57	17.32

-77.15	7.26	1011.90	0.496	-0.290	0.130	-562.90	588.57	17.32

-85.82	4.09	994.02	-0.648	0.298	-0.069	-562.90	588.57	17.32

-86.18	-3.05	986.51	0.259	-0.214	0.122	-562.90	588.57	17.32

